03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | run 7c_v2_real_s2 started -> /root/autodl-tmp/fly/runs/7c_v2_real_s2
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | ==============================================================================
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=2 shuffle_seed=0
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | ==============================================================================
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | ------------------------------------------------------------------------------
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | circuit core loaded from cache: 33480 neurons / 1170024 edges
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
03:15:00 | INFO    | flynum.run.7c_v2_real_s2 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
03:15:03 | INFO    | flynum.run.7c_v2_real_s2 | signed synapses: 187016/211577 neurons carry a prediction, 151924 excitatory / 59653 inhibitory / 47751 defaulted to +1 (100.0% signed)
03:15:03 | INFO    | flynum.run.7c_v2_real_s2 | readout: visual_projection (VPN) -> 9200 neurons
03:15:03 | INFO    | flynum.run.7c_v2_real_s2 | count stimuli loaded from cache (20000 pool images)
03:15:04 | INFO    | flynum.run.7c_v2_real_s2 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
03:15:04 | INFO    | flynum.run.7c_v2_real_s2 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
03:15:04 | INFO    | flynum.run.7c_v2_real_s2 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
03:15:04 | INFO    | flynum.run.7c_v2_real_s2 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
03:15:04 | INFO    | flynum.run.7c_v2_real_s2 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
03:15:04 | INFO    | flynum.run.7c_v2_real_s2 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
03:15:04 | INFO    | flynum.run.7c_v2_real_s2 | readout standardisation disabled
03:15:27 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   0 | loss 1.4887 | train 0.3534 | val 0.4576 | 22.5s
03:15:49 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   1 | loss 1.1744 | train 0.4606 | val 0.4648 | 22.1s
03:16:11 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   2 | loss 1.1021 | train 0.4828 | val 0.4812 | 22.1s
03:16:33 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   3 | loss 1.0804 | train 0.4913 | val 0.4800 | 22.1s
03:16:56 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   4 | loss 1.0608 | train 0.5026 | val 0.5036 | 22.6s
03:17:19 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   5 | loss 1.0594 | train 0.5023 | val 0.4980 | 23.2s
03:17:42 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   6 | loss 1.0477 | train 0.5097 | val 0.5144 | 23.2s
03:18:05 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   7 | loss 1.0421 | train 0.5104 | val 0.5144 | 23.3s
03:18:29 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   8 | loss 1.0344 | train 0.5121 | val 0.5176 | 23.2s
03:18:52 | INFO    | flynum.run.7c_v2_real_s2 |   epoch   9 | loss 1.0335 | train 0.5113 | val 0.5224 | 23.3s
03:19:15 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  10 | loss 1.0318 | train 0.5151 | val 0.5288 | 23.2s
03:19:39 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  11 | loss 1.0183 | train 0.5222 | val 0.5236 | 23.3s
03:20:02 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  12 | loss 1.0168 | train 0.5192 | val 0.5300 | 23.1s
03:20:24 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  13 | loss 1.0093 | train 0.5252 | val 0.5236 | 22.6s
03:20:47 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  14 | loss 1.0002 | train 0.5309 | val 0.5384 | 22.3s
03:21:09 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  15 | loss 0.9930 | train 0.5366 | val 0.5260 | 22.1s
03:21:31 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  16 | loss 0.9837 | train 0.5443 | val 0.5436 | 22.1s
03:21:53 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  17 | loss 0.9745 | train 0.5427 | val 0.5504 | 22.6s
03:22:16 | INFO    | flynum.run.7c_v2_real_s2 |   epoch  18 | loss 0.9644 | train 0.5489 | val 0.5496 | 22.9s
