02:16:08 | INFO    | flynum.run.7c_v2_real_s1 | run 7c_v2_real_s1 started -> /root/autodl-tmp/fly/runs/7c_v2_real_s1
02:16:08 | INFO    | flynum.run.7c_v2_real_s1 | ==============================================================================
02:16:08 | INFO    | flynum.run.7c_v2_real_s1 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=1 shuffle_seed=0
02:16:08 | INFO    | flynum.run.7c_v2_real_s1 | ==============================================================================
02:16:08 | INFO    | flynum.run.7c_v2_real_s1 | ------------------------------------------------------------------------------
02:16:08 | INFO    | flynum.run.7c_v2_real_s1 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
02:16:09 | INFO    | flynum.run.7c_v2_real_s1 | circuit core loaded from cache: 33480 neurons / 1170024 edges
02:16:09 | INFO    | flynum.run.7c_v2_real_s1 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
02:16:09 | INFO    | flynum.run.7c_v2_real_s1 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
02:16:11 | INFO    | flynum.run.7c_v2_real_s1 | signed synapses: 187016/211577 neurons carry a prediction, 151924 excitatory / 59653 inhibitory / 47751 defaulted to +1 (100.0% signed)
02:16:11 | INFO    | flynum.run.7c_v2_real_s1 | readout: visual_projection (VPN) -> 9200 neurons
02:16:11 | INFO    | flynum.run.7c_v2_real_s1 | count stimuli loaded from cache (20000 pool images)
02:16:13 | INFO    | flynum.run.7c_v2_real_s1 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
02:16:13 | INFO    | flynum.run.7c_v2_real_s1 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
02:16:13 | INFO    | flynum.run.7c_v2_real_s1 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
02:16:13 | INFO    | flynum.run.7c_v2_real_s1 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
02:16:13 | INFO    | flynum.run.7c_v2_real_s1 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
02:16:13 | INFO    | flynum.run.7c_v2_real_s1 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
02:16:13 | INFO    | flynum.run.7c_v2_real_s1 | readout standardisation disabled
02:16:28 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   0 | loss 1.4944 | train 0.3521 | val 0.4420 | 15.6s
02:16:44 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   1 | loss 1.1788 | train 0.4619 | val 0.4760 | 15.6s
02:17:00 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   2 | loss 1.1053 | train 0.4799 | val 0.4976 | 15.6s
02:17:45 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   3 | loss 1.0801 | train 0.4901 | val 0.4824 | 45.7s
02:18:42 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   4 | loss 1.0648 | train 0.4988 | val 0.5040 | 56.5s
02:19:24 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   5 | loss 1.0554 | train 0.5020 | val 0.4984 | 41.6s
02:19:39 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   6 | loss 1.0472 | train 0.5049 | val 0.4736 | 15.6s
02:19:55 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   7 | loss 1.0425 | train 0.5086 | val 0.4992 | 15.6s
02:20:11 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   8 | loss 1.0373 | train 0.5138 | val 0.4928 | 15.6s
02:20:26 | INFO    | flynum.run.7c_v2_real_s1 |   epoch   9 | loss 1.0324 | train 0.5131 | val 0.5196 | 15.6s
02:20:42 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  10 | loss 1.0290 | train 0.5168 | val 0.5144 | 15.6s
02:20:57 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  11 | loss 1.0214 | train 0.5211 | val 0.5200 | 15.6s
02:21:13 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  12 | loss 1.0140 | train 0.5245 | val 0.5332 | 15.6s
02:21:29 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  13 | loss 1.0073 | train 0.5265 | val 0.5232 | 15.6s
02:21:44 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  14 | loss 1.0026 | train 0.5294 | val 0.4932 | 15.6s
02:22:00 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  15 | loss 0.9964 | train 0.5310 | val 0.5248 | 15.6s
02:22:15 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  16 | loss 0.9897 | train 0.5379 | val 0.5544 | 15.6s
02:22:31 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  17 | loss 0.9763 | train 0.5447 | val 0.5508 | 15.6s
02:22:47 | INFO    | flynum.run.7c_v2_real_s1 |   epoch  18 | loss 0.9706 | train 0.5470 | val 0.5304 | 15.6s
