01:44:26 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  19 | loss 1.1281 | train 0.5040 | val 0.4416 | 1.1s
01:44:27 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  20 | loss 1.1066 | train 0.4980 | val 0.4416 | 1.1s
01:44:28 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  21 | loss 1.1017 | train 0.5080 | val 0.4488 | 1.1s
01:44:29 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  22 | loss 1.0915 | train 0.5160 | val 0.4380 | 1.1s
01:44:30 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  23 | loss 1.0794 | train 0.5280 | val 0.4452 | 1.1s
01:44:32 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  24 | loss 1.0623 | train 0.5380 | val 0.4492 | 1.1s
01:44:33 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  25 | loss 1.0562 | train 0.5360 | val 0.4440 | 1.1s
01:44:34 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  26 | loss 1.0572 | train 0.5240 | val 0.4572 | 1.1s
01:44:35 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  27 | loss 1.0462 | train 0.5560 | val 0.4408 | 1.1s
01:44:36 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  28 | loss 1.0345 | train 0.5360 | val 0.4528 | 1.1s
01:44:37 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  29 | loss 1.0306 | train 0.5400 | val 0.4544 | 1.1s
01:44:38 | INFO    | flynum.run.s2_count_M1_core_real_N500_m2_sh0_c49abd81ab |   epoch  30 | loss 1.0222 | train 0.5540 | val 0.4548 | 1.1s
