02:55:04 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | run 7c_v2_scalectrl_real_s1 started -> /root/autodl-tmp/fly/runs/7c_v2_scalectrl_real_s1
02:55:04 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | ==============================================================================
02:55:04 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=1 shuffle_seed=0
02:55:04 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | ==============================================================================
02:55:04 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | ------------------------------------------------------------------------------
02:55:04 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
02:55:05 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | circuit core loaded from cache: 33480 neurons / 1170024 edges
02:55:05 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
02:55:05 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
02:55:05 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | readout: visual_projection (VPN) -> 9200 neurons
02:55:05 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | count stimuli loaded from cache (20000 pool images)
02:55:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
02:55:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
02:55:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
02:55:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
02:55:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
02:55:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
02:55:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 | readout standardisation disabled
02:55:22 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   0 | loss 1.5019 | train 0.3527 | val 0.4464 | 15.6s
02:55:38 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   1 | loss 1.1452 | train 0.4700 | val 0.4880 | 15.5s
02:55:53 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   2 | loss 1.0896 | train 0.4847 | val 0.4968 | 15.6s
02:56:09 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   3 | loss 1.0721 | train 0.4929 | val 0.4888 | 15.6s
02:56:24 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   4 | loss 1.0592 | train 0.5008 | val 0.5124 | 15.6s
02:56:40 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   5 | loss 1.0504 | train 0.5022 | val 0.4980 | 15.6s
02:56:56 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   6 | loss 1.0454 | train 0.5057 | val 0.4636 | 15.6s
02:57:11 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   7 | loss 1.0418 | train 0.5092 | val 0.5036 | 15.6s
02:57:27 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   8 | loss 1.0361 | train 0.5142 | val 0.5036 | 15.6s
02:57:42 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch   9 | loss 1.0336 | train 0.5123 | val 0.5148 | 15.6s
02:57:58 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  10 | loss 1.0305 | train 0.5152 | val 0.5108 | 15.6s
02:58:13 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  11 | loss 1.0259 | train 0.5186 | val 0.5196 | 15.6s
02:58:29 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  12 | loss 1.0202 | train 0.5238 | val 0.5256 | 15.6s
02:58:45 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  13 | loss 1.0164 | train 0.5201 | val 0.5148 | 15.6s
02:59:00 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  14 | loss 1.0146 | train 0.5213 | val 0.4932 | 15.6s
02:59:16 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  15 | loss 1.0109 | train 0.5231 | val 0.5176 | 15.6s
02:59:31 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  16 | loss 1.0070 | train 0.5302 | val 0.5368 | 15.6s
02:59:47 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  17 | loss 0.9971 | train 0.5333 | val 0.5396 | 15.6s
03:00:02 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  18 | loss 0.9943 | train 0.5327 | val 0.5304 | 15.6s
03:00:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  19 | loss 0.9854 | train 0.5395 | val 0.5452 | 15.6s
03:00:34 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  20 | loss 0.9736 | train 0.5460 | val 0.5348 | 15.6s
03:00:49 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  21 | loss 0.9660 | train 0.5506 | val 0.5528 | 15.6s
03:01:05 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  22 | loss 0.9594 | train 0.5554 | val 0.5684 | 15.6s
03:01:20 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  23 | loss 0.9471 | train 0.5613 | val 0.5624 | 15.6s
03:01:36 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  24 | loss 0.9393 | train 0.5644 | val 0.5516 | 15.6s
03:01:58 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  25 | loss 0.9298 | train 0.5701 | val 0.5516 | 22.0s
03:02:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  26 | loss 0.9200 | train 0.5816 | val 0.5804 | 23.2s
03:02:44 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  27 | loss 0.9082 | train 0.5852 | val 0.5900 | 23.1s
03:03:07 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  28 | loss 0.8996 | train 0.5907 | val 0.5948 | 23.2s
03:03:31 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  29 | loss 0.8876 | train 0.5989 | val 0.5996 | 23.2s
03:03:54 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  30 | loss 0.8825 | train 0.6012 | val 0.6000 | 23.2s
03:04:17 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  31 | loss 0.8724 | train 0.6091 | val 0.5844 | 23.2s
03:04:40 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  32 | loss 0.8621 | train 0.6161 | val 0.6124 | 23.2s
03:05:03 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  33 | loss 0.8534 | train 0.6236 | val 0.6056 | 23.2s
03:05:26 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  34 | loss 0.8473 | train 0.6289 | val 0.6076 | 22.6s
03:05:48 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  35 | loss 0.8404 | train 0.6312 | val 0.6124 | 22.1s
03:06:10 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  36 | loss 0.8343 | train 0.6377 | val 0.6124 | 22.1s
03:06:32 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  37 | loss 0.8260 | train 0.6414 | val 0.6112 | 22.0s
03:06:55 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  38 | loss 0.8196 | train 0.6434 | val 0.6304 | 22.4s
03:07:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  39 | loss 0.8148 | train 0.6512 | val 0.6352 | 23.2s
03:07:41 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  40 | loss 0.8094 | train 0.6525 | val 0.6328 | 23.2s
03:08:04 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  41 | loss 0.8048 | train 0.6561 | val 0.6268 | 23.2s
03:08:27 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  42 | loss 0.8004 | train 0.6583 | val 0.6328 | 23.2s
03:08:51 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  43 | loss 0.7985 | train 0.6604 | val 0.6336 | 23.2s
03:09:14 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  44 | loss 0.7929 | train 0.6632 | val 0.6244 | 23.2s
03:09:37 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  45 | loss 0.7905 | train 0.6634 | val 0.6476 | 23.2s
03:10:00 | INFO    | flynum.run.7c_v2_scalectrl_real_s1 |   epoch  46 | loss 0.7880 | train 0.6655 | val 0.6596 | 23.3s
