20:07:12 | INFO    | flynum.run.7_rep_shuffled_s8 | run 7_rep_shuffled_s8 started -> I:\2026.9.14\9.15果蝇识字\runs\7_rep_shuffled_s8
20:07:12 | INFO    | flynum.run.7_rep_shuffled_s8 | ==============================================================================
20:07:12 | INFO    | flynum.run.7_rep_shuffled_s8 | COUNT RUN | model=M1 graph=shuffled circuit=core N=20000 model_seed=8 shuffle_seed=8
20:07:12 | INFO    | flynum.run.7_rep_shuffled_s8 | ==============================================================================
20:07:12 | INFO    | flynum.run.7_rep_shuffled_s8 | ------------------------------------------------------------------------------
20:07:12 | INFO    | flynum.run.7_rep_shuffled_s8 | preparing: circuit=core graph=shuffled retina=isotropic/lamina/both readout=vpn
20:07:15 | INFO    | flynum.run.7_rep_shuffled_s8 | circuit core loaded from cache: 33480 neurons / 1170024 edges
20:08:56 | INFO    | flynum.run.7_rep_shuffled_s8 | shuffle(seed=8): 21868865 swaps / 23401792 attempts (93.4% accepted) | edge overlap with real graph 2.24%
20:08:56 | INFO    | flynum.run.7_rep_shuffled_s8 |   shuffle verified: overlap with real graph 2.24%, degrees and weights preserved
20:09:11 | INFO    | flynum.run.7_rep_shuffled_s8 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
20:09:11 | INFO    | flynum.run.7_rep_shuffled_s8 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
20:09:11 | INFO    | flynum.run.7_rep_shuffled_s8 | readout: visual_projection (VPN) -> 9200 neurons
20:09:12 | INFO    | flynum.run.7_rep_shuffled_s8 | count stimuli loaded from cache (20000 pool images)
20:09:18 | INFO    | flynum.run.7_rep_shuffled_s8 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
20:09:18 | INFO    | flynum.run.7_rep_shuffled_s8 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
20:09:18 | INFO    | flynum.run.7_rep_shuffled_s8 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
20:09:18 | INFO    | flynum.run.7_rep_shuffled_s8 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
20:09:18 | INFO    | flynum.run.7_rep_shuffled_s8 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
20:09:18 | INFO    | flynum.run.7_rep_shuffled_s8 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
20:09:18 | INFO    | flynum.run.7_rep_shuffled_s8 | readout standardisation disabled
20:09:48 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   0 | loss 1.4758 | train 0.4283 | val 0.4952 | 30.0s
20:10:18 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   1 | loss 1.0605 | train 0.4966 | val 0.5112 | 29.6s
20:10:48 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   2 | loss 1.0511 | train 0.5002 | val 0.4968 | 29.6s
20:11:18 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   3 | loss 1.0336 | train 0.5102 | val 0.4856 | 29.7s
20:11:47 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   4 | loss 1.0307 | train 0.5157 | val 0.5208 | 29.5s
20:12:17 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   5 | loss 1.0223 | train 0.5158 | val 0.5028 | 29.7s
20:12:46 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   6 | loss 1.0162 | train 0.5244 | val 0.5272 | 29.6s
20:13:16 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   7 | loss 1.0116 | train 0.5248 | val 0.5176 | 29.6s
20:13:45 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   8 | loss 1.0101 | train 0.5258 | val 0.5284 | 29.1s
20:14:15 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch   9 | loss 1.0046 | train 0.5273 | val 0.5300 | 29.3s
20:14:44 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  10 | loss 1.0003 | train 0.5305 | val 0.5288 | 29.6s
20:15:14 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  11 | loss 0.9935 | train 0.5364 | val 0.5048 | 29.5s
20:15:44 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  12 | loss 0.9941 | train 0.5360 | val 0.5324 | 29.5s
20:16:13 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  13 | loss 0.9803 | train 0.5392 | val 0.5412 | 29.6s
20:16:43 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  14 | loss 0.9723 | train 0.5462 | val 0.5296 | 29.7s
20:17:13 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  15 | loss 0.9638 | train 0.5519 | val 0.5280 | 29.8s
20:17:42 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  16 | loss 0.9528 | train 0.5552 | val 0.5380 | 29.5s
20:18:12 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  17 | loss 0.9457 | train 0.5615 | val 0.5576 | 29.4s
20:18:41 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  18 | loss 0.9333 | train 0.5682 | val 0.5664 | 29.4s
20:19:11 | INFO    | flynum.run.7_rep_shuffled_s8 |   epoch  19 | loss 0.9275 | train 0.5755 | val 0.5592 | 29.5s
