18:04:51 | INFO    | flynum.run.7_rep_shuffled_s6 | run 7_rep_shuffled_s6 started -> I:\2026.9.14\9.15果蝇识字\runs\7_rep_shuffled_s6
18:04:51 | INFO    | flynum.run.7_rep_shuffled_s6 | ==============================================================================
18:04:51 | INFO    | flynum.run.7_rep_shuffled_s6 | COUNT RUN | model=M1 graph=shuffled circuit=core N=20000 model_seed=6 shuffle_seed=6
18:04:51 | INFO    | flynum.run.7_rep_shuffled_s6 | ==============================================================================
18:04:51 | INFO    | flynum.run.7_rep_shuffled_s6 | ------------------------------------------------------------------------------
18:04:51 | INFO    | flynum.run.7_rep_shuffled_s6 | preparing: circuit=core graph=shuffled retina=isotropic/lamina/both readout=vpn
18:04:54 | INFO    | flynum.run.7_rep_shuffled_s6 | circuit core loaded from cache: 33480 neurons / 1170024 edges
18:06:27 | INFO    | flynum.run.7_rep_shuffled_s6 | shuffle(seed=6): 22270870 swaps / 23831930 attempts (93.4% accepted) | edge overlap with real graph 2.23%
18:06:28 | INFO    | flynum.run.7_rep_shuffled_s6 |   shuffle verified: overlap with real graph 2.23%, degrees and weights preserved
18:06:42 | INFO    | flynum.run.7_rep_shuffled_s6 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
18:06:42 | INFO    | flynum.run.7_rep_shuffled_s6 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
18:06:42 | INFO    | flynum.run.7_rep_shuffled_s6 | readout: visual_projection (VPN) -> 9200 neurons
18:06:43 | INFO    | flynum.run.7_rep_shuffled_s6 | count stimuli loaded from cache (20000 pool images)
18:06:49 | INFO    | flynum.run.7_rep_shuffled_s6 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
18:06:49 | INFO    | flynum.run.7_rep_shuffled_s6 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
18:06:49 | INFO    | flynum.run.7_rep_shuffled_s6 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
18:06:49 | INFO    | flynum.run.7_rep_shuffled_s6 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
18:06:49 | INFO    | flynum.run.7_rep_shuffled_s6 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
18:06:49 | INFO    | flynum.run.7_rep_shuffled_s6 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
18:06:49 | INFO    | flynum.run.7_rep_shuffled_s6 | readout standardisation disabled
18:07:17 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   0 | loss 1.5966 | train 0.4338 | val 0.4748 | 28.7s
18:07:46 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   1 | loss 1.0653 | train 0.4954 | val 0.5108 | 29.0s
18:08:16 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   2 | loss 1.0450 | train 0.5060 | val 0.5080 | 29.0s
18:08:45 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   3 | loss 1.0349 | train 0.5089 | val 0.5060 | 29.4s
18:09:14 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   4 | loss 1.0249 | train 0.5160 | val 0.5276 | 29.3s
18:09:44 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   5 | loss 1.0265 | train 0.5150 | val 0.5108 | 29.2s
18:10:13 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   6 | loss 1.0160 | train 0.5224 | val 0.5196 | 29.4s
18:10:42 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   7 | loss 1.0133 | train 0.5223 | val 0.5204 | 29.4s
18:11:12 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   8 | loss 1.0083 | train 0.5268 | val 0.5164 | 29.4s
18:11:41 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch   9 | loss 1.0037 | train 0.5245 | val 0.5280 | 29.4s
18:12:11 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  10 | loss 0.9992 | train 0.5314 | val 0.5288 | 29.5s
18:12:40 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  11 | loss 0.9921 | train 0.5343 | val 0.5360 | 29.1s
18:13:10 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  12 | loss 0.9892 | train 0.5385 | val 0.5288 | 29.4s
18:13:39 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  13 | loss 0.9810 | train 0.5400 | val 0.5404 | 29.5s
18:14:09 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  14 | loss 0.9744 | train 0.5442 | val 0.5324 | 29.4s
18:14:38 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  15 | loss 0.9649 | train 0.5561 | val 0.5444 | 29.2s
18:15:07 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  16 | loss 0.9575 | train 0.5543 | val 0.5472 | 29.2s
18:15:37 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  17 | loss 0.9481 | train 0.5588 | val 0.5464 | 29.3s
18:16:06 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  18 | loss 0.9422 | train 0.5628 | val 0.5600 | 29.4s
18:16:36 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  19 | loss 0.9298 | train 0.5768 | val 0.5548 | 29.4s
18:17:05 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  20 | loss 0.9188 | train 0.5766 | val 0.5692 | 29.4s
18:17:35 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  21 | loss 0.9084 | train 0.5851 | val 0.5632 | 29.5s
18:18:04 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  22 | loss 0.8943 | train 0.5942 | val 0.5816 | 29.5s
18:18:34 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  23 | loss 0.8852 | train 0.5995 | val 0.5876 | 29.5s
18:19:03 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  24 | loss 0.8769 | train 0.6047 | val 0.5684 | 29.2s
18:19:32 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  25 | loss 0.8679 | train 0.6109 | val 0.5888 | 29.4s
18:20:02 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  26 | loss 0.8539 | train 0.6167 | val 0.6088 | 29.5s
18:20:32 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  27 | loss 0.8432 | train 0.6245 | val 0.5948 | 29.5s
18:21:01 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  28 | loss 0.8334 | train 0.6333 | val 0.5968 | 29.4s
18:21:30 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  29 | loss 0.8237 | train 0.6381 | val 0.6012 | 29.4s
18:22:00 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  30 | loss 0.8135 | train 0.6448 | val 0.6096 | 29.2s
18:22:29 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  31 | loss 0.8040 | train 0.6537 | val 0.6240 | 29.3s
18:22:58 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  32 | loss 0.7950 | train 0.6588 | val 0.6168 | 29.2s
18:23:28 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  33 | loss 0.7873 | train 0.6603 | val 0.6236 | 29.2s
18:23:57 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  34 | loss 0.7783 | train 0.6692 | val 0.6340 | 29.3s
18:24:26 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  35 | loss 0.7716 | train 0.6707 | val 0.6316 | 29.4s
18:24:56 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  36 | loss 0.7636 | train 0.6784 | val 0.6332 | 29.4s
18:25:25 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  37 | loss 0.7578 | train 0.6784 | val 0.6228 | 29.2s
18:25:55 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  38 | loss 0.7506 | train 0.6839 | val 0.6532 | 29.4s
18:26:24 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  39 | loss 0.7479 | train 0.6856 | val 0.6388 | 29.4s
18:26:53 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  40 | loss 0.7387 | train 0.6905 | val 0.6476 | 29.4s
18:27:23 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  41 | loss 0.7350 | train 0.6946 | val 0.6508 | 29.5s
18:27:52 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  42 | loss 0.7287 | train 0.6985 | val 0.6552 | 29.3s
18:28:21 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  43 | loss 0.7245 | train 0.7020 | val 0.6472 | 29.0s
18:28:51 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  44 | loss 0.7198 | train 0.7066 | val 0.6488 | 29.2s
18:29:20 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  45 | loss 0.7173 | train 0.7077 | val 0.6500 | 29.1s
18:29:49 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  46 | loss 0.7133 | train 0.7087 | val 0.6692 | 29.0s
18:30:18 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  47 | loss 0.7103 | train 0.7106 | val 0.6576 | 29.0s
18:30:47 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  48 | loss 0.7071 | train 0.7160 | val 0.6552 | 28.9s
18:31:16 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  49 | loss 0.7055 | train 0.7128 | val 0.6572 | 29.0s
18:31:45 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  50 | loss 0.7027 | train 0.7158 | val 0.6584 | 29.1s
18:32:14 | INFO    | flynum.run.7_rep_shuffled_s6 |   epoch  51 | loss 0.7008 | train 0.7188 | val 0.6596 | 29.1s
