04:01:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | run 7c_v2_scalectrl_real_s2 started -> /root/autodl-tmp/fly/runs/7c_v2_scalectrl_real_s2
04:01:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | ==============================================================================
04:01:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | COUNT RUN | model=M1 graph=real circuit=core N=20000 model_seed=2 shuffle_seed=0
04:01:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | ==============================================================================
04:01:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | ------------------------------------------------------------------------------
04:01:18 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | preparing: circuit=core graph=real retina=isotropic/lamina/both readout=vpn
04:01:19 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | circuit core loaded from cache: 33480 neurons / 1170024 edges
04:01:19 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | hex field: 1771 columns | bounds x[4.5,53.5] y[0.9,33.8] | NN=1.0000 | density=1.193 (ideal 1.155)
04:01:19 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | retina map: 1769/1771 columns carry input neurons; 1356 of them fall inside the image window (76.6%) | 7961 input neurons
04:01:19 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | readout: visual_projection (VPN) -> 9200 neurons
04:01:19 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | count stimuli loaded from cache (20000 pool images)
04:01:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | stimuli A: chance=0.20  ink-baseline=0.558  spread-baseline=0.503
04:01:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | stimuli B: chance=0.20  ink-baseline=0.218  spread-baseline=0.483
04:01:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | stimuli C: chance=0.20  ink-baseline=0.217  spread-baseline=0.432
04:01:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | stimuli D: chance=0.20  ink-baseline=0.218  spread-baseline=0.461
04:01:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | model: 1249509 trainable parameters | readout=visual_projection (VPN) (9200 neurons) | alpha=0.20 steps=8
04:01:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | training set: 20000 images (class counts [4000, 4000, 4000, 4000, 4000])
04:01:21 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 | readout standardisation disabled
04:01:43 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   0 | loss 1.5023 | train 0.3633 | val 0.4640 | 22.6s
04:02:06 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   1 | loss 1.1382 | train 0.4682 | val 0.4852 | 22.6s
04:02:28 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   2 | loss 1.0843 | train 0.4885 | val 0.4852 | 22.7s
04:02:51 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   3 | loss 1.0699 | train 0.4956 | val 0.4896 | 22.6s
04:03:14 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   4 | loss 1.0546 | train 0.5034 | val 0.5076 | 22.8s
04:03:37 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   5 | loss 1.0547 | train 0.5040 | val 0.5012 | 23.3s
04:04:00 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   6 | loss 1.0433 | train 0.5090 | val 0.5168 | 23.2s
04:04:24 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   7 | loss 1.0404 | train 0.5105 | val 0.5140 | 23.2s
04:04:47 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   8 | loss 1.0343 | train 0.5121 | val 0.5216 | 23.2s
04:05:10 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch   9 | loss 1.0348 | train 0.5106 | val 0.5184 | 22.8s
04:05:32 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  10 | loss 1.0355 | train 0.5139 | val 0.5276 | 22.6s
04:05:55 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  11 | loss 1.0241 | train 0.5177 | val 0.5264 | 22.6s
04:06:17 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  12 | loss 1.0254 | train 0.5165 | val 0.5316 | 22.6s
04:06:40 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  13 | loss 1.0208 | train 0.5213 | val 0.5204 | 22.9s
04:07:03 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  14 | loss 1.0152 | train 0.5239 | val 0.5316 | 22.6s
04:07:26 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  15 | loss 1.0124 | train 0.5230 | val 0.5284 | 22.7s
04:07:48 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  16 | loss 1.0061 | train 0.5312 | val 0.5256 | 22.6s
04:08:11 | INFO    | flynum.run.7c_v2_scalectrl_real_s2 |   epoch  17 | loss 1.0001 | train 0.5290 | val 0.5384 | 22.5s
