04:38:46 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  19 | loss 0.7840 | train 0.6590 | val 0.6448 | 28.3s
04:39:14 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  20 | loss 0.7573 | train 0.6750 | val 0.6784 | 28.3s
04:39:42 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  21 | loss 0.7424 | train 0.6855 | val 0.6784 | 28.3s
04:40:11 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  22 | loss 0.7245 | train 0.6940 | val 0.6852 | 28.3s
04:40:39 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  23 | loss 0.7069 | train 0.7053 | val 0.6652 | 28.3s
04:41:07 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  24 | loss 0.6947 | train 0.7115 | val 0.7004 | 28.3s
04:41:36 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  25 | loss 0.6789 | train 0.7189 | val 0.7008 | 28.3s
04:42:04 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  26 | loss 0.6711 | train 0.7238 | val 0.7080 | 28.3s
04:42:32 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  27 | loss 0.6616 | train 0.7276 | val 0.7168 | 28.3s
04:43:01 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  28 | loss 0.6511 | train 0.7342 | val 0.7220 | 28.4s
04:43:29 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  29 | loss 0.6413 | train 0.7404 | val 0.7340 | 28.3s
04:43:58 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  30 | loss 0.6355 | train 0.7433 | val 0.7256 | 28.3s
04:44:26 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  31 | loss 0.6269 | train 0.7486 | val 0.7392 | 28.3s
04:44:54 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  32 | loss 0.6173 | train 0.7548 | val 0.7408 | 28.3s
04:45:23 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  33 | loss 0.6120 | train 0.7556 | val 0.7308 | 28.4s
04:45:51 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  34 | loss 0.6042 | train 0.7593 | val 0.7568 | 28.4s
04:46:20 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  35 | loss 0.6018 | train 0.7613 | val 0.7140 | 28.3s
04:46:48 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  36 | loss 0.5927 | train 0.7654 | val 0.7428 | 28.3s
04:47:16 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  37 | loss 0.5891 | train 0.7663 | val 0.7468 | 28.3s
04:47:45 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  38 | loss 0.5847 | train 0.7717 | val 0.7212 | 28.3s
04:48:13 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  39 | loss 0.5797 | train 0.7742 | val 0.7416 | 28.3s
04:48:41 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  40 | loss 0.5751 | train 0.7763 | val 0.7544 | 28.3s
04:49:10 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  41 | loss 0.5722 | train 0.7772 | val 0.7528 | 28.3s
04:49:38 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  42 | loss 0.5690 | train 0.7784 | val 0.7420 | 28.3s
04:50:07 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  43 | loss 0.5656 | train 0.7812 | val 0.7568 | 28.3s
04:50:35 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  44 | loss 0.5628 | train 0.7843 | val 0.7240 | 28.3s
04:51:03 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  45 | loss 0.5602 | train 0.7859 | val 0.7708 | 28.3s
04:51:32 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  46 | loss 0.5553 | train 0.7886 | val 0.7672 | 28.3s
04:52:00 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  47 | loss 0.5535 | train 0.7892 | val 0.7620 | 28.3s
04:52:28 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  48 | loss 0.5524 | train 0.7896 | val 0.7620 | 28.4s
04:52:57 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  49 | loss 0.5483 | train 0.7929 | val 0.7596 | 28.3s
04:53:25 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  50 | loss 0.5473 | train 0.7932 | val 0.7656 | 28.4s
04:53:53 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  51 | loss 0.5456 | train 0.7934 | val 0.7580 | 28.2s
04:54:22 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  52 | loss 0.5455 | train 0.7953 | val 0.7672 | 28.2s
04:54:50 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  53 | loss 0.5436 | train 0.7970 | val 0.7664 | 28.3s
04:55:18 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  54 | loss 0.5429 | train 0.7953 | val 0.7732 | 28.3s
04:55:47 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  55 | loss 0.5417 | train 0.7961 | val 0.7672 | 28.4s
04:56:15 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  56 | loss 0.5410 | train 0.7968 | val 0.7704 | 28.3s
04:56:43 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  57 | loss 0.5406 | train 0.7974 | val 0.7704 | 28.3s
04:57:12 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  58 | loss 0.5401 | train 0.7981 | val 0.7712 | 28.3s
04:57:40 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   epoch  59 | loss 0.5400 | train 0.7974 | val 0.7704 | 28.3s
04:57:40 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | ------------------------------------------------------------------------------
04:57:41 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   test A: acc 0.7768 (chance 0.20) | macro-F1 0.7732 | per-class 1.00 0.86 0.67 0.60 0.76
04:57:41 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   test B: acc 0.6210 (chance 0.20) | macro-F1 0.5851 | per-class 1.00 0.91 0.65 0.38 0.17
04:57:42 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   test C: acc 0.9496 (chance 0.20) | macro-F1 0.9492 | per-class 1.00 1.00 0.99 0.96 0.79
04:57:43 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab |   test D: acc 0.6308 (chance 0.20) | macro-F1 0.6077 | per-class 0.99 0.83 0.62 0.45 0.27
04:57:43 | INFO    | flynum.run.s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab | run s2_count_M1_core_real_N20000_m2_sh0_758f75b4ab finished: ok (1713.5s)
