04:10:38 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  20 | loss 0.9103 | train 0.5828 | val 0.5660 | 28.3s
04:11:07 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  21 | loss 0.9020 | train 0.5863 | val 0.5544 | 28.4s
04:11:35 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  22 | loss 0.8915 | train 0.5967 | val 0.5732 | 28.5s
04:12:04 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  23 | loss 0.8792 | train 0.6009 | val 0.5736 | 28.4s
04:12:32 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  24 | loss 0.8694 | train 0.6089 | val 0.5908 | 28.3s
04:13:01 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  25 | loss 0.8601 | train 0.6140 | val 0.5980 | 28.3s
04:13:29 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  26 | loss 0.8476 | train 0.6249 | val 0.6028 | 28.4s
04:13:57 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  27 | loss 0.8339 | train 0.6335 | val 0.6052 | 28.3s
04:14:26 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  28 | loss 0.8266 | train 0.6369 | val 0.5972 | 28.3s
04:14:54 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  29 | loss 0.8117 | train 0.6445 | val 0.6068 | 28.4s
04:15:23 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  30 | loss 0.8076 | train 0.6463 | val 0.6188 | 28.4s
04:15:51 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  31 | loss 0.7958 | train 0.6565 | val 0.6144 | 28.3s
04:16:19 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  32 | loss 0.7857 | train 0.6615 | val 0.6184 | 28.3s
04:16:48 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  33 | loss 0.7768 | train 0.6698 | val 0.6216 | 28.4s
04:17:16 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  34 | loss 0.7696 | train 0.6731 | val 0.6212 | 28.4s
04:17:45 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  35 | loss 0.7620 | train 0.6748 | val 0.6268 | 28.4s
04:18:13 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  36 | loss 0.7559 | train 0.6787 | val 0.6372 | 28.3s
04:18:42 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  37 | loss 0.7470 | train 0.6875 | val 0.6412 | 28.3s
04:19:10 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  38 | loss 0.7417 | train 0.6889 | val 0.6448 | 28.4s
04:19:38 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  39 | loss 0.7350 | train 0.6925 | val 0.6440 | 28.4s
04:20:07 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  40 | loss 0.7294 | train 0.6977 | val 0.6480 | 28.3s
04:20:35 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  41 | loss 0.7231 | train 0.7009 | val 0.6444 | 28.4s
04:21:04 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  42 | loss 0.7179 | train 0.7060 | val 0.6508 | 28.3s
04:21:32 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  43 | loss 0.7157 | train 0.7037 | val 0.6524 | 28.4s
04:22:01 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  44 | loss 0.7095 | train 0.7132 | val 0.6480 | 28.4s
04:22:29 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  45 | loss 0.7066 | train 0.7095 | val 0.6548 | 28.4s
04:22:57 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  46 | loss 0.7032 | train 0.7156 | val 0.6640 | 28.3s
04:23:26 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  47 | loss 0.7004 | train 0.7175 | val 0.6668 | 28.4s
04:23:54 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  48 | loss 0.6977 | train 0.7181 | val 0.6612 | 28.3s
04:24:23 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  49 | loss 0.6944 | train 0.7194 | val 0.6548 | 28.3s
04:24:51 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  50 | loss 0.6927 | train 0.7233 | val 0.6628 | 28.4s
04:25:19 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  51 | loss 0.6906 | train 0.7216 | val 0.6620 | 28.3s
04:25:48 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  52 | loss 0.6890 | train 0.7248 | val 0.6596 | 28.4s
04:26:16 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  53 | loss 0.6876 | train 0.7252 | val 0.6584 | 28.3s
04:26:45 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  54 | loss 0.6863 | train 0.7259 | val 0.6660 | 28.4s
04:27:13 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  55 | loss 0.6853 | train 0.7270 | val 0.6632 | 28.4s
04:27:41 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  56 | loss 0.6846 | train 0.7274 | val 0.6620 | 28.4s
04:28:10 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  57 | loss 0.6841 | train 0.7276 | val 0.6664 | 28.3s
04:28:38 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  58 | loss 0.6837 | train 0.7277 | val 0.6612 | 28.3s
04:29:07 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   epoch  59 | loss 0.6835 | train 0.7282 | val 0.6632 | 28.4s
04:29:07 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d | ------------------------------------------------------------------------------
04:29:07 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   test A: acc 0.6610 (chance 0.20) | macro-F1 0.6509 | per-class 0.99 0.66 0.59 0.35 0.71
04:29:08 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   test B: acc 0.4044 (chance 0.20) | macro-F1 0.3078 | per-class 0.94 0.88 0.18 0.01 0.01
04:29:08 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   test C: acc 0.4290 (chance 0.20) | macro-F1 0.3520 | per-class 0.98 1.00 0.14 0.00 0.03
04:29:09 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d |   test D: acc 0.3652 (chance 0.20) | macro-F1 0.2694 | per-class 0.92 0.80 0.10 0.01 0.00
04:29:09 | INFO    | flynum.run.s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d | run s2_count_M1_core_shuffled_N20000_m1_sh1_ae393b649d finished: ok (1717.5s)
